qid,question,answer,qid.1,question.1,answer.1,concepts,numbers,units,relations,cn_result
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1407.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1407.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '65 kg', '1407.0', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'bacillus', 'score': -5.155334949493408}, {'head': 'labial', 'relation': 'relatedto', 'tail': 'b', 'score': -5.248384417491359}, {'head': 'a', 'relation': 'relatedto', 'tail': 'vitamin', 'score': -5.258679736932462}], 'graph_edges': [(2250186, -5.155334949493408, None), (1390975, -5.248384417491359, None), (2234991, -5.258679736932462, None), (738466, -5.580639801196769, None), (2250189, -7.308819723129273, None)]}"
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and ii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and ii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'b_complex_vitamin', 'score': -8.859918594360352}], 'graph_edges': [(2250189, -8.859918594360352, None)]}"
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and iii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and iii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'b_complex_vitamin', 'score': -8.827402114868164}], 'graph_edges': [(2250189, -8.827402114868164, None)]}"
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",ii and iii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",ii and iii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'b_complex_vitamin', 'score': -8.601947784423828}], 'graph_edges': [(2250189, -8.601947784423828, None)]}"
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?","i, ii and iii",3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?","i, ii and iii","['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'b_complex_vitamin', 'score': -8.65713882446289}], 'graph_edges': [(2250189, -8.65713882446289, None)]}"
4,how many macro-nutrients are needed for normal growth of plants?,6,4,how many macro-nutrients are needed for normal growth of plants?,6,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['6'],['m'],[],"{'display': [{'head': 'n', 'relation': 'relatedto', 'tail': 'nitrogen', 'score': -10.347855567932129}], 'graph_edges': [(2362376, -10.347855567932129, None)]}"
4,how many macro-nutrients are needed for normal growth of plants?,10,4,how many macro-nutrients are needed for normal growth of plants?,10,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['10'],['m'],[],"{'display': [], 'graph_edges': []}"
4,how many macro-nutrients are needed for normal growth of plants?,16,4,how many macro-nutrients are needed for normal growth of plants?,16,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['16'],['m'],[],"{'display': [], 'graph_edges': []}"
4,how many macro-nutrients are needed for normal growth of plants?,20,4,how many macro-nutrients are needed for normal growth of plants?,20,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['20'],['m'],[],"{'display': [], 'graph_edges': []}"
5,which food could be directly absorbed hy human body?,milk,5,which food could be directly absorbed hy human body?,milk,"['absorb', 'hy', 'milk', 'body', 'food', 'human']",[],['m'],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'absorbancy', 'score': -9.966038703918457}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absorbance', 'score': -12.673535823822021}], 'graph_edges': [(638439, -9.966038703918457, None), (638438, -12.673535823822021, None)]}"
5,which food could be directly absorbed hy human body?,sugar,5,which food could be directly absorbed hy human body?,sugar,"['absorb', 'hy', 'sugar', 'body', 'food', 'human']",[],['m'],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'absorbancy', 'score': -10.063803672790527}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absorbance', 'score': -12.682703971862793}], 'graph_edges': [(638439, -10.063803672790527, None), (638438, -12.682703971862793, None)]}"
5,which food could be directly absorbed hy human body?,honey,5,which food could be directly absorbed hy human body?,honey,"['absorb', 'honey', 'hy', 'body', 'food', 'human']",[],['m'],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'absorbancy', 'score': -10.236477851867676}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absorbance', 'score': -13.062373161315918}], 'graph_edges': [(638439, -10.236477851867676, None), (638438, -13.062373161315918, None)]}"
5,which food could be directly absorbed hy human body?,rice,5,which food could be directly absorbed hy human body?,rice,"['rice', 'absorb', 'hy', 'body', 'food', 'human']",[],['m'],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'absorbancy', 'score': -9.624238014221191}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absorbance', 'score': -12.10244016647339}], 'graph_edges': [(638439, -9.624238014221191, None), (638438, -12.10244016647339, None)]}"
6,which is called necessary evil?,imbibition,6,which is called necessary evil?,imbibition,"['call', 'necessary', 'evil', 'imbibition']",[],['m'],[],"{'display': [{'head': 'in', 'relation': 'antonym', 'tail': 'e', 'score': -10.189483642578125}], 'graph_edges': [(8092, -10.189483642578125, None)]}"
6,which is called necessary evil?,diffusion,6,which is called necessary evil?,diffusion,"['diffusion', 'call', 'necessary', 'evil']",[],[],[],"{'display': [], 'graph_edges': []}"
6,which is called necessary evil?,osmosis,6,which is called necessary evil?,osmosis,"['call', 'necessary', 'osmosis', 'evil']",[],['m'],[],"{'display': [], 'graph_edges': []}"
6,which is called necessary evil?,transpiration,6,which is called necessary evil?,transpiration,"['call', 'evil', 'necessary', 'transpiration']",[],[],[],"{'display': [{'head': 'in', 'relation': 'antonym', 'tail': 'e', 'score': -10.872879981994629}], 'graph_edges': [(8092, -10.872879981994629, None)]}"
7,what kind of patients can have a heart attack without any symptoms?,leukemia,7,what kind of patients can have a heart attack without any symptoms?,leukemia,"['symptom', 'attack', 'kind', 'heart', 'leukemia', 'patient']",[],['m'],[],"{'display': [], 'graph_edges': []}"
7,what kind of patients can have a heart attack without any symptoms?,diabetes,7,what kind of patients can have a heart attack without any symptoms?,diabetes,"['symptom', 'attack', 'kind', 'heart', 'diabete', 'patient']",[],['m'],[],"{'display': [], 'graph_edges': []}"
7,what kind of patients can have a heart attack without any symptoms?,thalassemia,7,what kind of patients can have a heart attack without any symptoms?,thalassemia,"['symptom', 'attack', 'thalassemia', 'kind', 'heart', 'patient']",[],['m'],[],"{'display': [], 'graph_edges': []}"
7,what kind of patients can have a heart attack without any symptoms?,aids,7,what kind of patients can have a heart attack without any symptoms?,aids,"['symptom', 'attack', 'kind', 'heart', 'patient', 'aid']",[],['m'],[],"{'display': [], 'graph_edges': []}"
8,which organ of the children can be affected by tonsil and scabies?,kidney,8,which organ of the children can be affected by tonsil and scabies?,kidney,"['organ', 'scabie', 'child', 'tonsil', 'affect', 'kidney']",[],[],[],"{'display': [], 'graph_edges': []}"
8,which organ of the children can be affected by tonsil and scabies?,liver,8,which organ of the children can be affected by tonsil and scabies?,liver,"['organ', 'scabie', 'liver', 'child', 'tonsil', 'affect']",[],[],[],"{'display': [], 'graph_edges': []}"
8,which organ of the children can be affected by tonsil and scabies?,lung,8,which organ of the children can be affected by tonsil and scabies?,lung,"['organ', 'scabie', 'child', 'lung', 'tonsil', 'affect']",[],[],[],"{'display': [], 'graph_edges': []}"
8,which organ of the children can be affected by tonsil and scabies?,tongue,8,which organ of the children can be affected by tonsil and scabies?,tongue,"['organ', 'scabie', 'tongue', 'child', 'tonsil', 'affect']",[],[],[],"{'display': [], 'graph_edges': []}"
9,urine is light yellow due to the presence of which one?,urea,9,urine is light yellow due to the presence of which one?,urea,"['urea', 'urine', 'light', 'yellow', 'presence']",['one'],[],[],"{'display': [{'head': 'pee', 'relation': 'relatedto', 'tail': 'p', 'score': -7.704292297363281}], 'graph_edges': [(2376231, -7.704292297363281, None)]}"
9,urine is light yellow due to the presence of which one?,creatinine,9,urine is light yellow due to the presence of which one?,creatinine,"['urine', 'light', 'yellow', 'presence', 'creatinine']",['one'],[],[],"{'display': [], 'graph_edges': []}"
9,urine is light yellow due to the presence of which one?,urichrome,9,urine is light yellow due to the presence of which one?,urichrome,"['urine', 'urichrome', 'light', 'yellow', 'presence']",['one'],['m'],[],"{'display': [{'head': 'pee', 'relation': 'relatedto', 'tail': 'p', 'score': -7.899054527282715}], 'graph_edges': [(2376231, -7.899054527282715, None)]}"
9,urine is light yellow due to the presence of which one?,uric acid,9,urine is light yellow due to the presence of which one?,uric acid,"['urine', 'uric', 'light', 'yellow', 'acid', 'presence']",['one'],[],[],"{'display': [{'head': 'pee', 'relation': 'relatedto', 'tail': 'p', 'score': -7.556344032287598}], 'graph_edges': [(2376231, -7.556344032287598, None)]}"
10,how many male gametes are produced by the divison of pollea generative cell?,2,10,how many male gametes are produced by the divison of pollea generative cell?,2,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['2'],['m'],[],"{'display': [], 'graph_edges': []}"
10,how many male gametes are produced by the divison of pollea generative cell?,4,10,how many male gametes are produced by the divison of pollea generative cell?,4,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['4'],['m'],[],"{'display': [], 'graph_edges': []}"
10,how many male gametes are produced by the divison of pollea generative cell?,6,10,how many male gametes are produced by the divison of pollea generative cell?,6,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['6'],['m'],[],"{'display': [], 'graph_edges': []}"
10,how many male gametes are produced by the divison of pollea generative cell?,8,10,how many male gametes are produced by the divison of pollea generative cell?,8,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['8'],['m'],[],"{'display': [], 'graph_edges': []}"
11,which of the following helps in metabolic and physiological functions in body?,albumin,11,which of the following helps in metabolic and physiological functions in body?,albumin,"['albumin', 'metabolic', 'physiological', 'body', 'help', 'following', 'function']",[],['m'],[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'vitamin_c', 'score': -8.630859375}, {'head': 'd', 'relation': 'relatedto', 'tail': 'vitamin_d', 'score': -11.51383514404297}], 'graph_edges': [(2263686, -8.630859375, None), (2282999, -11.51383514404297, None)]}"
11,which of the following helps in metabolic and physiological functions in body?,thyroxine,11,which of the following helps in metabolic and physiological functions in body?,thyroxine,"['metabolic', 'function', 'physiological', 'body', 'help', 'following', 'thyroxine']",[],['m'],[],"{'display': [{'head': 't', 'relation': 'relatedto', 'tail': 'thyroxine', 'score': -2.6814489841461184}, {'head': 't', 'relation': 'relatedto', 'tail': 'thymine', 'score': -6.753731149760536}, {'head': 't', 'relation': 'relatedto', 'tail': 'triiodothyronine', 'score': -7.82177734375}], 'graph_edges': [(2421288, -2.6814489841461184, None), (2421292, -6.753731149760536, None), (2421289, -7.82177734375, None)]}"
11,which of the following helps in metabolic and physiological functions in body?,pepsin,11,which of the following helps in metabolic and physiological functions in body?,pepsin,"['metabolic', 'pepsin', 'physiological', 'body', 'help', 'following', 'function']",[],['m'],[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'coke', 'score': -8.796608924865723}], 'graph_edges': [(2263679, -8.796608924865723, None)]}"
11,which of the following helps in metabolic and physiological functions in body?,ammonea,11,which of the following helps in metabolic and physiological functions in body?,ammonea,"['metabolic', 'help', 'physiological', 'body', 'ammonea', 'following', 'function']",[],"['mm', 'm']",[],"{'display': [], 'graph_edges': []}"
12,rna contains uracil instead of which one?,thymine,12,rna contains uracil instead of which one?,thymine,"['contain', 'rna', 'thymine', 'uracil']",['one'],['m'],[],"{'display': [{'head': 't', 'relation': 'relatedto', 'tail': 'thymine', 'score': -8.103031158447266}, {'head': 't', 'relation': 'relatedto', 'tail': 'thyroxine', 'score': -8.622587955327036}, {'head': 'l', 'relation': 'partof', 'tail': 'alphabet', 'score': -10.657750129699707}], 'graph_edges': [(2421292, -8.103031158447266, None), (2421288, -8.622587955327036, None), (625768, -10.657750129699707, None), (2331009, -10.875775189250636, None), (623000, -11.038332344478095, None), (621327, -11.16315046203223, None), (2421291, -11.177146037263899, None), (631531, -11.243960457009738, None), (2421289, -11.514279312748576, None)]}"
12,rna contains uracil instead of which one?,cytosine,12,rna contains uracil instead of which one?,cytosine,"['contain', 'rna', 'cytosine', 'uracil']",['one'],[],[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'cytosine', 'score': -9.766717767715454}, {'head': 'c', 'relation': 'partof', 'tail': 'alphabet', 'score': -10.92343489631337}, {'head': 'c', 'relation': 'relatedto', 'tail': 'deoxycytidine_monophosphate', 'score': -11.113118171691895}], 'graph_edges': [(2263684, -9.766717767715454, None), (621327, -10.92343489631337, None), (2263685, -11.113118171691895, None)]}"
12,rna contains uracil instead of which one?,guanine,12,rna contains uracil instead of which one?,guanine,"['contain', 'rna', 'uracil', 'guanine']",['one'],[],[],"{'display': [{'head': 'o', 'relation': 'partof', 'tail': 'alphabet', 'score': 0.0}, {'head': 't', 'relation': 'relatedto', 'tail': 'triiodothyronine', 'score': 0.0}, {'head': 'c', 'relation': 'relatedto', 'tail': 'cytosine', 'score': 0.0}], 'graph_edges': [(627766, 0.0, None), (2421289, 0.0, None), (2263684, 0.0, None), (2331009, 0.0, None), (623000, 0.0, None), (623947, 0.0, None), (337317, 0.0, None), (2263686, 0.0, None), (631531, 0.0, None), (621327, 0.0, None)]}"
12,rna contains uracil instead of which one?,adenine,12,rna contains uracil instead of which one?,adenine,"['contain', 'rna', 'adenine', 'uracil']",['one'],[],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'adenine', 'score': -9.385994148254396}, {'head': 'c', 'relation': 'relatedto', 'tail': 'cytosine', 'score': -10.418263820283498}, {'head': 'u', 'relation': 'partof', 'tail': 'alphabet', 'score': -10.533245086669922}], 'graph_edges': [(2234987, -9.385994148254396, None), (2263684, -10.418263820283498, None), (631531, -10.533245086669922, None), (622582, -11.040946396719626, None), (337317, -11.061844041468186, None), (401424, -11.082405490453995, None), (621327, -11.245028308455876, None), (2263685, -11.7535916161544, None)]}"
13,carolus linnaeus is a scientist of which country?,sweden,13,carolus linnaeus is a scientist of which country?,sweden,"['scientist', 'carolus', 'linnaeus', 'country', 'sweden']",[],[],[],"{'display': [], 'graph_edges': []}"
13,carolus linnaeus is a scientist of which country?,pakistan,13,carolus linnaeus is a scientist of which country?,pakistan,"['scientist', 'carolus', 'pakistan', 'linnaeus', 'country']",[],[],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'academician', 'score': -10.76274299621582}, {'head': 'u', 'relation': 'relatedto', 'tail': 'austro_asiatic', 'score': -12.449495876931644}, {'head': 'ashoka', 'relation': 'relatedto', 'tail': 'c', 'score': -12.55816181539571}], 'graph_edges': [(638441, -10.76274299621582, None), (2093025, -12.449495876931644, None), (720167, -12.55816181539571, None), (2263683, -13.205089372896861, None), (755045, -14.072793579101562, None)]}"
13,carolus linnaeus is a scientist of which country?,germany,13,carolus linnaeus is a scientist of which country?,germany,"['scientist', 'germany', 'carolus', 'linnaeus', 'country']",[],['m'],[],"{'display': [{'head': 'córdoba', 'relation': 'relatedto', 'tail': 'c', 'score': -10.646724700927734}, {'head': 'basic', 'relation': 'relatedto', 'tail': 'c', 'score': -10.777537089569144}, {'head': 'c', 'relation': 'relatedto', 'tail': 'carbon', 'score': -13.993287944793702}], 'graph_edges': [(2282992, -10.646724700927734, None), (755045, -10.777537089569144, None), (2263683, -13.993287944793702, None)]}"
13,carolus linnaeus is a scientist of which country?,canada,13,carolus linnaeus is a scientist of which country?,canada,"['scientist', 'carolus', 'linnaeus', 'country', 'canada']",[],[],[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'carbon', 'score': -10.799222946166992}], 'graph_edges': [(2263683, -10.799222946166992, None)]}"
14,which is the scientific name of cockroach?,vibrio cholerae,14,which is the scientific name of cockroach?,vibrio cholerae,"['scientific', 'cockroach', 'vibrio', 'cholerae', 'vibrio cholerae']",[],['m'],[],"{'display': [], 'graph_edges': []}"
14,which is the scientific name of cockroach?,apis indica,14,which is the scientific name of cockroach?,apis indica,"['apis', 'scientific', 'indica', 'cockroach']",[],['m'],[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'cat', 'score': -10.654396057128906}, {'head': 'p', 'relation': 'partof', 'tail': 'alphabet', 'score': -11.54523914069896}, {'head': 'o', 'relation': 'partof', 'tail': 'alphabet', 'score': -11.849696437951106}], 'graph_edges': [(837693, -10.654396057128906, None), (628052, -11.54523914069896, None), (627766, -11.849696437951106, None), (1308327, -12.22609653118068, None), (2362376, -14.215851402282714, None)]}"
14,which is the scientific name of cockroach?,periplaneta americana,14,which is the scientific name of cockroach?,periplaneta americana,"['scientific', 'periplaneta', 'americana', 'cockroach']",[],['m'],[],"{'display': [{'head': 'n', 'relation': 'relatedto', 'tail': 'nitrogen', 'score': -10.843561172485352}, {'head': 'a', 'relation': 'relatedto', 'tail': 'amphibian', 'score': -13.139524459838867}], 'graph_edges': [(2362376, -10.843561172485352, None), (638478, -13.139524459838867, None)]}"
14,which is the scientific name of cockroach?,plasmodium vivax,14,which is the scientific name of cockroach?,plasmodium vivax,"['vivax', 'scientific', 'cockroach', 'plasmodium']",[],['m'],[],"{'display': [{'head': 'n', 'relation': 'relatedto', 'tail': 'nitrogen', 'score': -9.747568130493164}, {'head': 'v', 'relation': 'relatedto', 'tail': 'vanadium', 'score': -11.627334213256836}], 'graph_edges': [(2362376, -9.747568130493164, None), (2436819, -11.627334213256836, None)]}"
15,by contact with which leucoplast is converted to chioroplast?,soil,15,by contact with which leucoplast is converted to chioroplast?,soil,"['convert', 'leucoplast', 'contact', 'chioroplast', 'soil']",[],[],[],"{'display': [], 'graph_edges': []}"
15,by contact with which leucoplast is converted to chioroplast?,light,15,by contact with which leucoplast is converted to chioroplast?,light,"['convert', 'leucoplast', 'contact', 'chioroplast', 'light']",[],[],[],"{'display': [], 'graph_edges': []}"
15,by contact with which leucoplast is converted to chioroplast?,air,15,by contact with which leucoplast is converted to chioroplast?,air,"['convert', 'leucoplast', 'air', 'contact', 'chioroplast']",[],[],[],"{'display': [], 'graph_edges': []}"
15,by contact with which leucoplast is converted to chioroplast?,water,15,by contact with which leucoplast is converted to chioroplast?,water,"['convert', 'leucoplast', 'water', 'contact', 'chioroplast']",[],[],[],"{'display': [], 'graph_edges': []}"
16,which of the following plants contains phloem parenchyma?,rice,16,which of the following plants contains phloem parenchyma?,rice,"['rice', 'follow', 'contain', 'plant', 'parenchyma', 'phloem']",[],['m'],[],"{'display': [], 'graph_edges': []}"
